Date,Area,Type,Value,Year,Month
1921-01-01,Alturas,Precipitation,NA,1921,1
1921-02-01,Alturas,Precipitation,NA,1921,2
1921-03-01,Alturas,Precipitation,NA,1921,3
1921-04-01,Alturas,Precipitation,NA,1921,4
1921-05-01,Alturas,Precipitation,NA,1921,5
1921-06-01,Alturas,Precipitation,NA,1921,6
1921-07-01,Alturas,Precipitation,NA,1921,7
1921-08-01,Alturas,Precipitation,NA,1921,8
1921-09-01,Alturas,Precipitation,NA,1921,9
1921-10-01,Alturas,Precipitation,NA,1921,10
1921-11-01,Alturas,Precipitation,NA,1921,11
1921-12-01,Alturas,Precipitation,NA,1921,12
1922-01-01,Alturas,Precipitation,NA,1922,1
1922-02-01,Alturas,Precipitation,NA,1922,2
1922-03-01,Alturas,Precipitation,NA,1922,3
1922-04-01,Alturas,Precipitation,NA,1922,4
1922-05-01,Alturas,Precipitation,NA,1922,5
1922-06-01,Alturas,Precipitation,NA,1922,6
1922-07-01,Alturas,Precipitation,NA,1922,7
1922-08-01,Alturas,Precipitation,NA,1922,8
1922-09-01,Alturas,Precipitation,NA,1922,9
1922-10-01,Alturas,Precipitation,NA,1922,10
1922-11-01,Alturas,Precipitation,NA,1922,11
1922-12-01,Alturas,Precipitation,NA,1922,12
1923-01-01,Alturas,Precipitation,NA,1923,1
1923-02-01,Alturas,Precipitation,NA,1923,2
1923-03-01,Alturas,Precipitation,NA,1923,3
1923-04-01,Alturas,Precipitation,NA,1923,4
1923-05-01,Alturas,Precipitation,NA,1923,5
1923-06-01,Alturas,Precipitation,NA,1923,6
1923-07-01,Alturas,Precipitation,NA,1923,7
1923-08-01,Alturas,Precipitation,NA,1923,8
1923-09-01,Alturas,Precipitation,NA,1923,9
1923-10-01,Alturas,Precipitation,NA,1923,10
1923-11-01,Alturas,Precipitation,NA,1923,11
1923-12-01,Alturas,Precipitation,NA,1923,12
1924-01-01,Alturas,Precipitation,NA,1924,1
1924-02-01,Alturas,Precipitation,NA,1924,2
1924-03-01,Alturas,Precipitation,NA,1924,3
1924-04-01,Alturas,Precipitation,NA,1924,4
1924-05-01,Alturas,Precipitation,NA,1924,5
1924-06-01,Alturas,Precipitation,NA,1924,6
1924-07-01,Alturas,Precipitation,NA,1924,7
1924-08-01,Alturas,Precipitation,NA,1924,8
1924-09-01,Alturas,Precipitation,NA,1924,9
1924-10-01,Alturas,Precipitation,NA,1924,10
1924-11-01,Alturas,Precipitation,NA,1924,11
1924-12-01,Alturas,Precipitation,NA,1924,12
1925-01-01,Alturas,Precipitation,NA,1925,1
1925-02-01,Alturas,Precipitation,NA,1925,2
1925-03-01,Alturas,Precipitation,NA,1925,3
1925-04-01,Alturas,Precipitation,NA,1925,4
1925-05-01,Alturas,Precipitation,NA,1925,5
1925-06-01,Alturas,Precipitation,NA,1925,6
1925-07-01,Alturas,Precipitation,NA,1925,7
1925-08-01,Alturas,Precipitation,NA,1925,8
1925-09-01,Alturas,Precipitation,NA,1925,9
1925-10-01,Alturas,Precipitation,NA,1925,10
1925-11-01,Alturas,Precipitation,NA,1925,11
1925-12-01,Alturas,Precipitation,NA,1925,12
1926-01-01,Alturas,Precipitation,NA,1926,1
1926-02-01,Alturas,Precipitation,NA,1926,2
1926-03-01,Alturas,Precipitation,NA,1926,3
1926-04-01,Alturas,Precipitation,NA,1926,4
1926-05-01,Alturas,Precipitation,NA,1926,5
1926-06-01,Alturas,Precipitation,NA,1926,6
1926-07-01,Alturas,Precipitation,NA,1926,7
1926-08-01,Alturas,Precipitation,NA,1926,8
1926-09-01,Alturas,Precipitation,NA,1926,9
1926-10-01,Alturas,Precipitation,NA,1926,10
1926-11-01,Alturas,Precipitation,NA,1926,11
1926-12-01,Alturas,Precipitation,NA,1926,12
1927-01-01,Alturas,Precipitation,NA,1927,1
1927-02-01,Alturas,Precipitation,NA,1927,2
1927-03-01,Alturas,Precipitation,NA,1927,3
1927-04-01,Alturas,Precipitation,NA,1927,4
1927-05-01,Alturas,Precipitation,NA,1927,5
1927-06-01,Alturas,Precipitation,NA,1927,6
1927-07-01,Alturas,Precipitation,NA,1927,7
1927-08-01,Alturas,Precipitation,NA,1927,8
1927-09-01,Alturas,Precipitation,NA,1927,9
1927-10-01,Alturas,Precipitation,NA,1927,10
1927-11-01,Alturas,Precipitation,NA,1927,11
1927-12-01,Alturas,Precipitation,NA,1927,12
1928-01-01,Alturas,Precipitation,NA,1928,1
1928-02-01,Alturas,Precipitation,NA,1928,2
1928-03-01,Alturas,Precipitation,NA,1928,3
1928-04-01,Alturas,Precipitation,NA,1928,4
1928-05-01,Alturas,Precipitation,NA,1928,5
1928-06-01,Alturas,Precipitation,NA,1928,6
1928-07-01,Alturas,Precipitation,NA,1928,7
1928-08-01,Alturas,Precipitation,NA,1928,8
1928-09-01,Alturas,Precipitation,NA,1928,9
1928-10-01,Alturas,Precipitation,NA,1928,10
1928-11-01,Alturas,Precipitation,NA,1928,11
1928-12-01,Alturas,Precipitation,NA,1928,12
1929-01-01,Alturas,Precipitation,NA,1929,1
