Date,drought_severity,drought_percent,wetness_severity,wetness_percent,0,-9,Year,Month,Day
1895-01-01,D0,0,W0,0,0,100,1895,01,01
1895-01-01,D0,0,W1,0,0,100,1895,01,01
1895-01-01,D0,0,W2,0,0,100,1895,01,01
1895-01-01,D0,0,W3,0,0,100,1895,01,01
1895-01-01,D0,0,W4,0,0,100,1895,01,01
1895-01-01,D1,0,W0,0,0,100,1895,01,01
1895-01-01,D1,0,W1,0,0,100,1895,01,01
1895-01-01,D1,0,W2,0,0,100,1895,01,01
1895-01-01,D1,0,W3,0,0,100,1895,01,01
1895-01-01,D1,0,W4,0,0,100,1895,01,01
1895-01-01,D2,0,W0,0,0,100,1895,01,01
1895-01-01,D2,0,W1,0,0,100,1895,01,01
1895-01-01,D2,0,W2,0,0,100,1895,01,01
1895-01-01,D2,0,W3,0,0,100,1895,01,01
1895-01-01,D2,0,W4,0,0,100,1895,01,01
1895-01-01,D3,0,W0,0,0,100,1895,01,01
1895-01-01,D3,0,W1,0,0,100,1895,01,01
1895-01-01,D3,0,W2,0,0,100,1895,01,01
1895-01-01,D3,0,W3,0,0,100,1895,01,01
1895-01-01,D3,0,W4,0,0,100,1895,01,01
1895-01-01,D4,0,W0,0,0,100,1895,01,01
1895-01-01,D4,0,W1,0,0,100,1895,01,01
1895-01-01,D4,0,W2,0,0,100,1895,01,01
1895-01-01,D4,0,W3,0,0,100,1895,01,01
1895-01-01,D4,0,W4,0,0,100,1895,01,01
1895-02-01,D0,0,W0,0,0,100,1895,02,01
1895-02-01,D0,0,W1,0,0,100,1895,02,01
1895-02-01,D0,0,W2,0,0,100,1895,02,01
1895-02-01,D0,0,W3,0,0,100,1895,02,01
1895-02-01,D0,0,W4,0,0,100,1895,02,01
1895-02-01,D1,0,W0,0,0,100,1895,02,01
1895-02-01,D1,0,W1,0,0,100,1895,02,01
1895-02-01,D1,0,W2,0,0,100,1895,02,01
1895-02-01,D1,0,W3,0,0,100,1895,02,01
1895-02-01,D1,0,W4,0,0,100,1895,02,01
1895-02-01,D2,0,W0,0,0,100,1895,02,01
1895-02-01,D2,0,W1,0,0,100,1895,02,01
1895-02-01,D2,0,W2,0,0,100,1895,02,01
1895-02-01,D2,0,W3,0,0,100,1895,02,01
1895-02-01,D2,0,W4,0,0,100,1895,02,01
1895-02-01,D3,0,W0,0,0,100,1895,02,01
1895-02-01,D3,0,W1,0,0,100,1895,02,01
1895-02-01,D3,0,W2,0,0,100,1895,02,01
1895-02-01,D3,0,W3,0,0,100,1895,02,01
1895-02-01,D3,0,W4,0,0,100,1895,02,01
1895-02-01,D4,0,W0,0,0,100,1895,02,01
1895-02-01,D4,0,W1,0,0,100,1895,02,01
1895-02-01,D4,0,W2,0,0,100,1895,02,01
1895-02-01,D4,0,W3,0,0,100,1895,02,01
1895-02-01,D4,0,W4,0,0,100,1895,02,01
1895-03-01,D0,0,W0,0,0,100,1895,03,01
1895-03-01,D0,0,W1,0,0,100,1895,03,01
1895-03-01,D0,0,W2,0,0,100,1895,03,01
1895-03-01,D0,0,W3,0,0,100,1895,03,01
1895-03-01,D0,0,W4,0,0,100,1895,03,01
1895-03-01,D1,0,W0,0,0,100,1895,03,01
1895-03-01,D1,0,W1,0,0,100,1895,03,01
1895-03-01,D1,0,W2,0,0,100,1895,03,01
1895-03-01,D1,0,W3,0,0,100,1895,03,01
1895-03-01,D1,0,W4,0,0,100,1895,03,01
1895-03-01,D2,0,W0,0,0,100,1895,03,01
1895-03-01,D2,0,W1,0,0,100,1895,03,01
1895-03-01,D2,0,W2,0,0,100,1895,03,01
1895-03-01,D2,0,W3,0,0,100,1895,03,01
1895-03-01,D2,0,W4,0,0,100,1895,03,01
1895-03-01,D3,0,W0,0,0,100,1895,03,01
1895-03-01,D3,0,W1,0,0,100,1895,03,01
1895-03-01,D3,0,W2,0,0,100,1895,03,01
1895-03-01,D3,0,W3,0,0,100,1895,03,01
1895-03-01,D3,0,W4,0,0,100,1895,03,01
1895-03-01,D4,0,W0,0,0,100,1895,03,01
1895-03-01,D4,0,W1,0,0,100,1895,03,01
1895-03-01,D4,0,W2,0,0,100,1895,03,01
1895-03-01,D4,0,W3,0,0,100,1895,03,01
1895-03-01,D4,0,W4,0,0,100,1895,03,01
1895-04-01,D0,0,W0,0,0,100,1895,04,01
1895-04-01,D0,0,W1,0,0,100,1895,04,01
1895-04-01,D0,0,W2,0,0,100,1895,04,01
1895-04-01,D0,0,W3,0,0,100,1895,04,01
1895-04-01,D0,0,W4,0,0,100,1895,04,01
1895-04-01,D1,0,W0,0,0,100,1895,04,01
1895-04-01,D1,0,W1,0,0,100,1895,04,01
1895-04-01,D1,0,W2,0,0,100,1895,04,01
1895-04-01,D1,0,W3,0,0,100,1895,04,01
1895-04-01,D1,0,W4,0,0,100,1895,04,01
1895-04-01,D2,0,W0,0,0,100,1895,04,01
1895-04-01,D2,0,W1,0,0,100,1895,04,01
1895-04-01,D2,0,W2,0,0,100,1895,04,01
1895-04-01,D2,0,W3,0,0,100,1895,04,01
1895-04-01,D2,0,W4,0,0,100,1895,04,01
1895-04-01,D3,0,W0,0,0,100,1895,04,01
1895-04-01,D3,0,W1,0,0,100,1895,04,01
1895-04-01,D3,0,W2,0,0,100,1895,04,01
1895-04-01,D3,0,W3,0,0,100,1895,04,01
1895-04-01,D3,0,W4,0,0,100,1895,04,01
1895-04-01,D4,0,W0,0,0,100,1895,04,01
1895-04-01,D4,0,W1,0,0,100,1895,04,01
1895-04-01,D4,0,W2,0,0,100,1895,04,01
1895-04-01,D4,0,W3,0,0,100,1895,04,01
1895-04-01,D4,0,W4,0,0,100,1895,04,01
