RECRD,VESSLTERMS,FEATURE_TYPE,LATDEC,LONDEC,GP_QUALITY,DEPTH
14620,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.143528,-80.114556,High,18
14292,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.498284,-81.759593,High,26
14296,ALGERIA,"Wreck - Submerged, dangerous to surface navigation",41.520448,-81.716076,High,32
14298,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.512713,-81.709879,High,22
14207,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.993389,-82.426583,High,34
10689,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.19175,-83.141611,Low,
10691,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.240583,-83.13325,Low,
10695,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.326972,-83.039917,Low,
10696,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.336806,-83.012833,Low,
10700,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.548333,-82.595,Low,
10702,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.553361,-82.586583,Low,
6837,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.897,-78.908647,High,0
6838,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.902556,-78.901703,Low,0
6839,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.958667,-78.930425,High,0
6840,UNKNOWN,Wreck - Visible,42.970611,-78.945039,High,0
6841,UNKNOWN,Wreck - Visible,42.974778,-78.944761,High,0
6842,UNKNOWN,Wreck - Visible,42.986444,-78.94115,High,0
6847,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.073667,-78.993375,High,0
6848,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.044722,-78.890592,High,0
6849,UNKNOWN,Wreck - Visible,43.025694,-78.893231,High,0
6850,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.04925,-79.001569,High,0
6851,UNKNOWN,Wreck - Visible,43.064389,-78.990292,High,0
6852,UNKNOWN,Wreck - Visible,43.050211,-78.91515,High,0
6880,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.965444,-78.969678,High,0
1927,WAHNAPITAE,Not Charted,41.516717,-81.716519,Poor,0
1936,CLEVECO,Not Charted,41.626714,-81.536508,Poor,0
1940,F.H. PRINCE,Not Charted,41.650044,-82.599894,Poor,0
1965,CASE,Not Charted,41.796711,-82.816575,Poor,0
1971,CHARLES B. HILL,Not Charted,41.841717,-81.066486,Poor,0
1984,CLARION,Not Charted,41.916711,-83.166592,Poor,0
2001,FRANK E. VIGOR,"Wreck - Submerged, dangerous to surface navigation",41.956978,-81.960975,Low,0
2008,CHESAPEAKE,Not Charted,42.025053,-80.566464,Poor,0
2022,TASHMOO,Not Charted,42.091708,-83.146589,Poor,0
2031,KILARNEY,"Wreck - Submerged, dangerous to surface navigation",42.158372,-81.243164,Low,0
2039,BRITTANIC,Not Charted,42.266703,-83.108253,Poor,0
2040,FONTANA,Not Charted,42.266703,-83.108253,Poor,0
2042,JAMES H. REED,"Wreck - Submerged, dangerous to surface navigation",42.271383,-80.799817,Low,0
2045,CITY OF ROME,Not Charted,42.291722,-79.699767,Poor,0
2120,CITY OF DETROIT,Not Charted,42.400056,-79.599769,Poor,0
2164,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.873389,-78.900925,High,0
2165,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.883722,-78.916925,Poor,0
2167,UNKNOWN,Wreck - Visible,42.890322,-78.899492,High,0
13898,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.495014,-81.712869,Low,
13900,UNKNOWN,Wreck - Visible,41.501994,-81.712353,Low,
13901,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.498308,-81.71865,Low,
13902,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.497817,-81.718547,Low,
2947,UNKNOWN,,42.000056,-80.516461,,0
14209,M/V MELISSA DESAGNES,"Wreck - Submerged, dangerous to surface navigation",42.236667,-83.131667,Low,
14208,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.753694,-82.475139,High,14
14297,CHARLES H. DAVIS,"Wreck - Submerged, dangerous to surface navigation",41.513194,-81.725045,High,28
